class_level_src,id_src, words_src,words_trg,id_trg,similarity
GROUP_FR,2,Maïs grainensilage,Graines du Niger,4,61
GROUP_FR,3,Orge,Orge,1,100
GROUP_FR,4,céréales,Céréales,1,100
GROUP_FR,4,céréales,céréales,1,100
GROUP_FR,5,Colza,Colza,4,100
GROUP_FR,6,Tournesol,Tournesol,4,100
GROUP_FR,7,oléagineux,Fruits oléagineux,4,72
GROUP_FR,7,oléagineux,fruits oléagineux,4,72
GROUP_FR,8,Protéagineux,Fruits oléagineux,4,67
GROUP_FR,8,Protéagineux,fruits oléagineux,4,67
GROUP_FR,9,Plantes à fibres,Permanent fibre,9,69
GROUP_FR,9,Plantes à fibres,permanent fibre,9,69
GROUP_FR,11,Gel surfaces gelées sans production,Courges potironsgourdes,2,53
GROUP_FR,14,Riz,Riz,1,100
GROUP_FR,15,Légumineuses à grains,Légumineuses,7,76
GROUP_FR,15,Légumineuses à grains,Légumineuses,7,76
GROUP_FR,16,Fourrage,Orge,1,67
GROUP_FR,16,Fourrage,Oranges,3,67
GROUP_FR,17,Estiveslandes,Stimulant,6,55
GROUP_FR,17,Estiveslandes,stimulant,6,55
GROUP_FR,17,Estiveslandes,Lentilles,7,55
GROUP_FR,18,Prairies permanentes,spicaromatique permanent,6,68
GROUP_FR,19,Prairies temporaires,épice temporaire,6,80
GROUP_FR,20,Vergers,Asperges,2,67
GROUP_FR,21,Vignes,Avoine,1,67
GROUP_FR,21,Vignes,Figues,3,67
GROUP_FR,21,Vignes,Châtaignes,3,67
GROUP_FR,21,Vignes,Igname,5,67
GROUP_FR,22,Fruits à coque,Citrus fruits,3,72
GROUP_FR,22,Fruits à coque,citrus fruits,3,72
GROUP_FR,23,Oliviers,Olives,4,86
GROUP_FR,24,cultures industrielles,Lentilles,7,58
GROUP_FR,25,Légumesfleurs,Légumineuses,7,70
GROUP_FR,25,Légumesfleurs,Légumineuses,7,70
GROUP_FR,26,Canne à sucre,Canne à sucre,8,100
GROUP_FR,28,Divers,Olives,4,67
CROPS_FR,BTP,Blé tendre de printemps,Pommes de terre,5,59
CROPS_FR,MID,Maïs doux,Sorgho doux,8,63
CROPS_FR,MIE,Maïs ensilage,Lentilles,7,57
CROPS_FR,MIS,Maïs,Maïs,1,100
CROPS_FR,ORH,Orge dhiver,Piper de poivre,6,62
CROPS_FR,ORP,Orge de printemps,Fourrage de graminées,9,70
CROPS_FR,AVH,Avoine dhiver,Avoine,1,63
CROPS_FR,AVP,Avoine de printemps,Racines de chicorée,6,59
CROPS_FR,BDP,Blé dur de printemps,Fleur permanente,9,57
CROPS_FR,CAG,céréale dun genre,Céréales mélangées,1,62
CROPS_FR,CGH,céréale de genre Phalaris,Racines de chicorée,6,54
CROPS_FR,CGP,céréale de genre Panicum,Graine de canari,1,53
