ID_CROPS_FR,ID_GROUP_ICC
BTH,1.0
BTP,1.0
MID,1.0
MIE,1.0
MIS,1.0
ORH,1.0
ORP,1.0
AVH,1.0
AVP,1.0
BDH,1.0
BDP,1.0
BDT,1.0
CAG,1.0
CGF,1.0
CGH,1.0
CGO,1.0
CGP,1.0
CGS,1.0
CHA,1.0
CHH,1.0
CHS,1.0
CHT,1.0
CPA,1.0
CPH,1.0
CPS,1.0
CPT,1.0
CPZ,1.0
EPE,1.0
MCR,1.0
MLT,1.0
SGH,1.0
SGP,1.0
SOG,1.0
SRS,1.0
TTH,1.0
TTP,1.0
CZH,4.0
CZP,4.0
TRN,4.0
ARA,4.0
<<<<<<< HEAD
LIH,4.0
LIP,4.0
MOL,4.0
NVE,4.0
NVH,4.0
OAG,4.0
OEH,4.0
OEI,4.0
OHN,4.0
OHR,4.0
OPN,4.0
OPR,4.0
SOJ,4.0
FEV,7.0
=======
LIH,9.0
LIP,9.0
MOL,
NVE,
NVH,
OAG,
OEH,
OEI,
OHN,
OHR,
OPN,
OPR,
SOJ,
FEV,
>>>>>>> 3f2cbac508812f96c9995d010ddefcdd997a845b
FVL,
FVT,
LDH,7.0
LDP,7.0
LDT,7.0
MPC,1.0
MPP,
MPT,
PAG,
PHI,7.0
PPR,7.0
PPT,7.0
CHV,9.0
CSE,9.0
LIF,9.0
J5M,
J6P,
J6S,
JNO,
RIZ,1.0
LEC,7.0
PCH,7.0
BVF,9.0
CAF,9.0
CHF,9.0
CPL,9.0
DTY,9.0
FAG,9.0
FET,9.0
FF5,9.0
FF6,9.0
FF7,9.0
FF8,9.0
FFO,9.0
FLO,9.0
FSG,9.0
GAI,9.0
GES,9.0
GFP,9.0
JO5,9.0
JO6,9.0
JO7,9.0
JO8,9.0
JOD,9.0
JOS,9.0
LEF,9.0
LFH,9.0
LFP,9.0
LH5,9.0
LH6,9.0
LH7,9.0
LH8,9.0
LO7,9.0
LO8,9.0
LOT,9.0
LP5,9.0
LP6,9.0
LP7,9.0
LP8,9.0
LU5,9.0
LU6,9.0
LU7,9.0
LU8,9.0
LUD,9.0
LUZ,9.0
MC5,9.0
MC6,9.0
MC7,9.0
MC8,9.0
ME5,9.0
ME6,9.0
ME7,9.0
ME8,9.0
MED,9.0
MEL,9.0
MH5,9.0
MH6,9.0
MH7,9.0
MI7,9.0
MI8,9.0
MIN,9.0
ML5,9.0
